"","s__Neisseria_flavescens","s__Alloprevotella_tannerae","s__Corynebacterium_matruchotii","s__Porphyromonas_sp_oral_taxon_278","s__Fusobacterium_nucleatum","s__Leptotrichia_buccalis","s__Capnocytophaga_sp_oral_taxon_329","s__candidate_division_TM7_single_cell_isolate_TM7b","s__Capnocytophaga_granulosa","s__Treponema_denticola","s__Dialister_invisus","s__candidate_division_TM7_single_cell_isolate_TM7c","s__Prevotella_melaninogenica","s__Prevotella_maculosa","s__Treponema_socranskii","s__Veillonella_parvula","s__Gemella_morbillorum","s__Actinomyces_johnsonii","s__Leptotrichia_wadei","s__Aggregatibacter_sp_oral_taxon_458","s__Streptococcus_gordonii","s__Capnocytophaga_gingivalis","s__Prevotella_saccharolytica","s__Treponema_medium","s__Campylobacter_gracilis","s__Selenomonas_infelix","s__Peptostreptococcus_stomatis","s__Eubacterium_infirmum","s__Prevotella_oulorum","s__Selenomonas_noxia","s__Candidatus_Prevotella_conceptionensis","s__Granulicatella_adiacens","s__Treponema_maltophilum","s__Capnocytophaga_ochracea","s__Cardiobacterium_valvarum","s__Prevotella_oris","s__Porphyromonas_sp_oral_taxon_279","s__Campylobacter_showae","s__Prevotella_nigrescens","s__Rothia_aeria","s__Neisseria_elongata","s__Prevotella_pallens","s__Oribacterium_sp_oral_taxon_078","s__Propionibacterium_propionicum","s__Catonella_morbi","s__Prevotella_loescheii","s__Eikenella_corrodens","s__Anaeroglobus_geminatus","s__Selenomonas_artemidis","s__Centipeda_periodontii","s__Actinomyces_naeslundii","s__Leptotrichia_shahii","s__Porphyromonas_endodontalis","s__Selenomonas_sputigena","s__Rothia_dentocariosa","s__Lachnoanaerobaculum_saburreum","s__Treponema_lecithinolyticum","s__Campylobacter_curvus","s__Leptotrichia_hofstadii","s__Solobacterium_moorei","s__Treponema_vincentii","s__Eubacterium_brachy","s__Neisseria_sicca","s__Lachnospiraceae_oral_taxon_107","s__Haemophilus_parainfluenzae","s__Atopobium_parvulum","s__Fusobacterium_periodonticum","s__Lautropia_mirabilis","s__Stomatobaculum_longum","s__Streptococcus_sanguinis","s__Actinomyces_georgiae","s__Actinomyces_massiliensis","s__Tannerella_forsythia","s__Actinomyces_oris","s__Bacteroidetes_oral_taxon_274","s__Streptococcus_cristatus","s__Actinomyces_odontolyticus","s__Campylobacter_concisus","s__Cardiobacterium_hominis","s__Corynebacterium_durum","s__Parvimonas_micra","s__Streptococcus_oligofermentans","s__Aggregatibacter_segnis","s__Streptococcus_infantis","s__Kingella_denitrificans","s__Slackia_exigua","s__Streptococcus_australis","s__Streptococcus_anginosus","s__Streptococcus_constellatus","s__Selenomonas_flueggei","s__Oribacterium_sinus","s__Lachnospiraceae_bacterium_oral_taxon_082","s__Actinomyces_viscosus","s__Atopobium_rimae","s__Campylobacter_rectus","s__Abiotrophia_defectiva","s__Neisseria_meningitidis","s__Haemophilus_paraphrohaemolyticus","s__Neisseria_subflava","s__Fretibacterium_fastidiosum","s__Gemella_haemolysans","s__Streptococcus_tigurinus","s__Prevotella_micans","s__Streptococcus_intermedius","s__Neisseria_gonorrhoeae","s__Porphyromonas_catoniae","s__Kingella_oralis","s__Neisseria_macacae","s__Lachnospiraceae_bacterium_ICM7","s__Haemophilus_haemolyticus","s__Rothia_mucilaginosa","s__Prevotella_nanceiensis","s__Veillonella_dispar","s__Actinobaculum_sp_oral_taxon_183","s__Neisseria_sp_oral_taxon_014","s__Prevotella_intermedia","s__Prevotella_denticola","s__Leptotrichia_sp_oral_taxon_215","s__Prevotella_dentalis","s__Eubacterium_saphenum","s__Mogibacterium_sp_CM50","s__Megasphaera_micronuciformis","s__Streptococcus_mutans","s__Desulfobulbus_sp_oral_taxon_041","s__Filifactor_alocis","s__Prevotella_buccae","s__Actinomyces_timonensis","s__Pseudoramibacter_alactolyticus","s__Prevotella_oralis","s__Prevotella_salivae","s__Granulicatella_elegans","s__Leptotrichia_goodfellowii","s__Streptococcus_salivarius","s__Streptococcus_parasanguinis","s__Haemophilus_influenzae","s__Veillonella_atypica","s__Bacteroidetes_bacterium_oral_taxon_272","s__Shuttleworthia_satelles","s__Actinomyces_sp_oral_taxon_180","s__Gemella_sanguinis","s__Prevotella_veroralis","s__Actinomyces_sp_oral_taxon_848","s__Neisseria_bacilliformis","s__Prevotella_pleuritidis","s__Porphyromonas_gingivalis","s__Johnsonella_ignava","s__Eubacterium_yurii","s__Aggregatibacter_actinomycetemcomitans","s__Streptococcus_vestibularis","s__Actinomyces_cardiffensis","s__Capnocytophaga_sp_oral_taxon_338","s__Capnocytophaga_sp_oral_taxon_863","s__Alloprevotella_rava","s__Prevotella_baroniae","s__Olsenella_uli","s__Eubacteriaceae_bacterium_ACC19a","s__Desulfovibrio_desulfuricans","s__Selenomonas_sp_oral_taxon_892","s__Selenomonas_sp_CM52","s__Prevotella_marshii","s__Eubacteriaceae_bacterium_OBRC8","s__Eubacteriaceae_bacterium_CM5","s__Aggregatibacter_aphrophilus","s__Eggerthia_catenaformis","s__Capnocytophaga_sp_oral_taxon_332","s__Veillonella_sp_3_1_44","s__Neisseria_lactamica","s__Leptotrichia_sp_oral_taxon_225","s__Bulleidia_extructa","s__Haemophilus_sputorum","s__Prevotella_sp_oral_taxon_473","s__Selenomonas_sp_F0473","s__Selenomonas_sp_oral_taxon_137","s__Escherichia_coli","s__Streptococcus_massiliensis","s__Capnocytophaga_sp_oral_taxon_380","s__Neisseria_cinerea","s__Haemophilus_parahaemolyticus","s__Prevotella_histicola","s__Streptococcus_sp_BS35b","s__Actinomyces_sp_oral_taxon_448"
"S04.08.R",0,0,495,0,2884873,0,0,0,45,0,0,0,0,0,0,26549,1033,3137,0,0,0,62561,0,0,42596,672,0,0,0,636,0,1088,0,0,0,0,0,129124,0,1152191,17065,0,0,0,0,0,24381,0,30900,0,539,0,0,440,93685,0,0,0,0,0,0,0,0,0,1256446,0,372,5430,0,55685,0,1782,0,31262,0,0,2145,0,0,20940,0,0,0,500,0,0,0,0,0,0,0,0,14728,0,0,0,0,0,0,0,4487,456,0,1150832,0,0,12797,0,0,333,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,10931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S07.01.D",0,2546230,3853368,929275,5343277,522524,0,729619,62294,1139085,1893215,652613,723460,395236,779157,999886,355140,127047,772478,536036,3722,109792,264890,580443,447789,42463,497605,336209,586329,813539,1592915,47872,430786,39550,19633,444919,52992,52949,29487,407,0,47294,406879,22209,88852,2988,31270,685865,6694,77284,617348,110922,1578980,113948,143772,966104,504284,1087,64528,158055,224778,521491,2335,3069,24999,51889,206511,835,104886,5463,1591,117712,2026501,61175,854470,75790,1687,13860,10695,30478,97190,38618,4193,5109,0,5586,0,19681,273,35587,2062,3186,26670,84643,148651,1103,1028,0,0,448073,3133,14829,85092,0,0,79368,10422,0,10807,2115,1553,1248,1724,336166,0,4335497,477137,339861,157359,141566,247598,78446,0,188806,968391,95375,7224,15520,62011,150193,830,0,0,0,1076,1135,6989,0,0,1494,265715,351049,0,0,3203,10041,64040,0,519,0,53356,0,217120,213312,55466,20431,0,0,389153,293140,632,0,0,129,0,215192,0,81017,20329,0,0,0,0,0,0,0,0,0,0,0,0
"S07.03.R",1163810,1416904,6738824,2574513,6995912,730521,476445,3113558,159328,212731,2256905,3008358,1685008,593211,531570,2629403,1274353,64389,1054799,2477991,7996,289683,608896,351338,506847,45567,321170,140594,1232655,1030289,1868619,136006,124322,89002,58966,1063968,1508500,313401,330163,3518,42841,285124,528865,178267,257132,13120,113094,260900,27207,76652,502875,332809,354578,34617,294982,1207127,105471,4141,397939,481429,99402,544001,26811,89617,70825,322401,295400,17649,182621,30696,5519,90468,108777,404895,226876,140176,2946,37586,45062,20420,116605,37747,124000,41199,762,4368,25514,20486,1371,84135,6003,15355,106050,28065,23293,15451,330,176,15055,12577,49005,8385,323347,57272,0,139861,47913,2668,522547,135441,40906,5541,9704,275412,0,3230368,739785,832496,11038,8158,0,176809,0,2477,301073,0,29384,0,15758,223879,48939,198,476,4830,0,5732,0,0,54055,15538,254003,193139,0,0,1752,19211,123568,0,6838,0,106255,0,88811,37498,0,1026,0,75508,237211,636103,1488,872,5431,0,178495,459279,0,366415,8231,1063,0,0,0,0,0,0,0,0,0,0,0
"S12.01.D",343992,3577180,1934860,1383206,5739067,45036,572552,375289,43269,460869,231966,333254,0,233999,727331,283688,412063,39986,185591,0,17521,43468,36673,312306,533183,45218,284558,41194,57566,566382,1697041,119539,557503,112300,53978,329894,54210,59396,3039699,29336,317550,0,18877,29476,241204,5143,59556,28656,19604,74199,57752,2354,1167624,81873,625,119915,275,102830,6263,3309,426102,520040,0,16883,7129,752,21333,5591,40421,2269,0,12040,1340592,45877,944747,29070,0,18628,29822,5929,133878,3951,61745,685,15036,15606,0,263902,363,19038,1255,693,833,0,67767,1986,0,0,3495,242497,1741,740,0,29907,0,12479,34310,4843,0,0,0,0,266,614739,0,0,576055,35743,0,0,158135,0,0,374748,365476,1788,0,1323,203712,29594,0,2603,0,0,0,0,0,0,0,0,14339,0,123,4177255,745879,20331,152210,0,0,0,0,0,60503,23027,16650,0,0,0,105015,0,0,0,1547,0,0,0,0,0,72069,0,55926,53167,37742,20373,2540,0,0,0,0,0,0
"S12.02.D",0,222096,409568,69631,3229491,6257,201803,49742,25754,428582,9160,57623,0,24671,560416,21082,68090,4821,4493,0,154,162456,5606,60963,25363,10282,32000,1803,4621,35266,218337,17326,577791,20284,19330,4350,31988,35105,91258,70360,45956,0,950,22099,49459,7333,28480,136,2468,2236,32665,943,1071116,12953,78768,4536,104,5712,4274,2284,78561,309483,0,7067,0,0,11633,1070,0,45579,0,35807,3987178,3381,3058133,4550,0,1587,42561,83838,73134,0,12107,0,105686,16650,0,36957,0,623,0,1449,4608,0,213935,15670,0,0,0,364525,0,545,0,1580,0,33530,0,7899,0,0,0,0,0,0,0,0,13211,0,0,0,132998,0,0,163923,201626,51,0,0,0,697,0,0,0,0,0,0,0,0,0,0,11186,0,0,1220503,3257591,15148,85726,0,0,0,0,0,3439,1921,0,0,0,0,0,0,0,0,48889,0,0,0,0,0,57655,0,0,0,71986,28439,19442,57798,0,0,0,0,0
"S12.03.R",10702594,18774,2800416,2952812,2210639,65277,242229,2046414,275048,100,0,1725477,208234,18679,12898,3505184,1569782,902687,29875,0,32571,549847,247047,1436,55997,93811,28232,0,11373,136348,218034,1104696,177,11728,115333,18679,4790898,186498,259229,46367,982068,5137,6053,38996,209493,48992,343925,6272,29018,15026,57451,8311,0,27168,178246,11669,0,6396,22959,8731,0,0,286575,153573,1453131,3411,429123,93397,39114,152686,11373,7696,0,239031,644,408162,181616,58024,35881,41556,3689,71992,1984955,96287,1824756,0,8754,23615,0,7750,32949,3789,286001,124,1413,176201,13265,11450,759523,0,493301,31134,0,42478,4593,590700,267883,128308,35325,16262,281237,137246,13217,0,58834,0,7543,165549,0,0,0,8660,3109,0,0,1300,0,0,0,8849,42165,85695,46846,60117,0,3499,0,0,0,76798,703,0,0,0,0,10646,172039,0,1886,0,119211,111083,0,0,130,0,0,0,0,0,71,899,555162,0,539172,0,5296,0,0,2678,0,0,0,20470,0,0,5208,4215,1501,0,0
"S12.04.R",821644,7306,2864413,716908,3405869,367788,607486,2621544,307163,63009,0,2251548,25631,470610,167872,996759,277804,452262,129890,0,3485,242613,421563,225132,330129,202913,870,0,248759,687783,241449,140134,35925,114867,565202,80156,292530,184556,145737,26628,208322,3635,7656,595748,214581,119799,213531,0,80693,13416,71259,84335,2394,46959,29019,17120,0,35471,125788,0,29592,704,38339,163597,76608,0,194883,29719,2604,69599,3615,76882,6993,27925,543653,29115,11338,25874,106550,50161,0,12975,333664,25234,329245,0,4662,27705,0,3812,6566,3188,46336,0,4962,30362,427,0,34447,403,45695,5866,0,0,474,1143350,102455,26861,15810,3138,11101,13802,2614,264822,86202,4242,0,115384,0,0,0,0,0,0,0,0,0,1534,0,2688,7243,209536,1451,3935,2218,410,0,0,0,4255,0,0,0,0,0,125058,422830,0,0,0,622299,55793,0,0,0,1817,0,0,0,0,1424,2358,64323,0,375844,0,504,0,0,0,0,31290,0,13592,0,0,0,0,0,0,0
"S13.01.D",0,186,1592010,40058,2572410,190,177364,491,33526,1181532,330260,783,1869279,181,145549,1004573,56592,251183,632685,0,91002,104626,0,56411,64360,0,84793,2058,0,42667,20956,80899,21858,0,0,139624,0,452,250937,0,0,0,5040,2525,4698,0,12224,495,0,0,4574,4225,740561,0,213143,44603,235003,0,6411,1104,1027,262839,15495,0,0,26088,0,0,2810,11672,158,13853,566142,25846,0,166768,0,6046,0,0,169078,33399,0,0,0,1192,0,1325,0,0,0,0,226134,3796,79891,0,0,0,0,16814,57,272,0,173057,0,0,177181,0,0,0,82,0,0,0,0,25174,0,0,151177,101592,43449,0,48469,8071,0,1782,0,0,14208,0,0,0,1074,647,0,0,0,0,0,0,0,0,0,0,891878,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1869,0,0,0,0,17470,0,0,0,0,15208,0,0,0,0,0,0,0
"S13.02.D",0,8813,430838,395335,7609668,150800,55333,1557225,19504,2918389,3070900,1390689,0,36943,615363,389134,387987,3012,80690,0,10990,19411,0,138662,67266,2616,212703,0,0,11932,819878,50643,549716,23566,67065,113068,0,139949,943993,0,0,0,8808,22624,364272,0,89218,82732,196,5726,9186,3101,1778205,26690,8491,951,1604044,0,1194,41741,4653,542125,1949,0,0,0,1399,0,0,0,0,2537,4086956,2648,235835,70017,0,1478,0,0,464270,10025,0,0,0,39494,0,546979,35293,0,0,0,14613,0,267416,0,0,0,0,372436,0,0,0,2947,0,37671,2080,0,0,0,0,0,0,0,0,3971268,0,0,469754,217114,317280,0,0,207546,0,10230,0,12683,653062,0,0,0,0,0,0,0,163902,0,0,0,0,0,210,0,3806573,9582,60523,0,0,12935,160773,0,22186,24344,10543,50050,392,0,0,1110,1679,201,0,12291,0,0,0,0,128633,0,0,0,0,18045,0,0,0,0,0,0,0
"S13.03.R",4278,0,9771009,258248,6672938,20870,107894,308552,38265,1338,932387,260493,593233,881,89980,1640753,533953,323335,512425,0,315065,76463,0,11977,400363,96653,37057,0,228,374531,1787207,436440,876,0,0,1692250,453431,4075,3661263,0,0,0,612049,97467,84308,1473,66912,389,101040,5309,3925,28486,88,5086,5564806,143473,4781,0,1390,112172,47,393570,557535,0,77111,11329,404,0,10246,61307,11915,3640,4781,121458,0,482233,0,5066,285,247582,255199,1955,0,7746,0,4573,0,467,0,13771,0,731,316309,15451,8130,47909,835,0,4801,0,24691,0,0,675804,0,41,94040,0,0,57,87128,0,4791,0,0,0,0,0,0,0,0,0,218349,0,0,985,0,0,10220,12522,0,0,10764,28891,0,3318,0,0,0,4646,0,0,0,0,12905,0,0,0,1747,0,568853,0,11967,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,8991,0,0,0,0,18464,0,0,0,0,24727,0,0
"S13.04.R",0,0,8076565,653464,10616532,1057016,121005,34659,112038,206988,832622,30610,399397,34629,704138,929710,256227,394638,2128422,0,9541,16280,9095,163151,496190,650570,140473,0,0,2651166,2441473,86406,119630,0,0,7275634,133236,134716,14663774,0,0,0,3501367,3868,323355,35656,20759,18629,348806,29590,39539,99422,1851,159933,159880,636973,114267,0,12850,967799,5968,2128347,68533,0,8332,326951,2720,0,52850,1058,7154,22232,7577,534400,0,925986,0,2659,0,1194,243551,227,0,604,0,6738,0,1760,816,85122,0,0,589584,5945,12593,793,1027,0,0,1579,18334,287,0,546910,0,0,26795,0,0,3906,18304,0,3974,0,0,831,0,0,0,0,0,3014,988498,0,0,3898,0,0,11135,370,0,0,6368,12193,3173,5628,0,0,0,60,0,28835,0,0,408,0,2312,0,2901,0,212125,0,0,0,0,15433,0,0,0,0,0,0,5500,340,0,0,0,0,71471,0,0,0,0,19989,0,0,3551,0,39252,0,0
"S14.01.D",283302,7111,7324583,0,224098,857,1737181,0,9760,4003,3146,0,125852,429,6371,79359,0,61601,16141,0,108903,8874730,0,1247,41408,1753,49,0,127,265974,0,102474,1987,280185,0,906,3380460,317853,9916,19386729,5265029,6322,0,5598458,1792,0,2025860,68,847,0,1313630,4325,35554,3682,7754660,8280,0,2786,5143,623,1929,2698,0,0,859902,2094,26329,1026168,12079,23212,0,1724,11679,249336,3809,265788,144661,46824,4160136,824357,0,21751,0,41233,0,0,39830,0,0,205,41009,0,20748,0,1188,23514,1451,0,173046,1568,27050,0,0,0,0,0,1696980,1597,8679,341,1710676,37405,33771,114552,0,0,3546,166870,0,0,0,13686,0,438,1042,0,0,0,0,1597,0,0,10598,23573,0,11738,0,0,0,65906,0,16300442,0,10257,7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,3731,0,0,0,2581,0,0,0
"S14.02.D",118968,0,17558035,0,555844,228,3850178,0,157944,0,1650,0,35231,97664,120627,148890,0,78967,8267,0,20593,5220585,0,0,198599,2010,0,0,15255,2628671,0,116095,90933,222690,0,0,11086106,1996951,1953,3983974,12315511,768,0,6439257,23513,0,5050694,76,24167,11738,520233,2787,0,18962,4814351,436838,0,126031,6039,0,0,0,0,0,225990,1043,8561,166913,2522,80778,0,29221,0,129255,60015,490577,108596,30188,6183800,122779,0,42598,0,13207,0,0,27201,0,0,0,8334,0,18535,0,0,20365,446,0,48154,10277,17862,0,0,0,0,0,334140,1593,901,0,637997,13909,27789,280288,0,0,50287,381308,0,0,0,8002,0,0,0,0,0,0,50856,0,0,0,1839,5869,0,5480,0,0,0,14098,0,228521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,26424,0,0,0,844,0,0,0
"S14.03.R",384362,21401,110610,0,42286,0,0,0,0,8474,616,0,13216,0,7514,31654,0,0,0,0,24384,284051,0,1575,0,0,572,0,0,1660,0,52956,5764,2543,0,536,54806,6155,16710,546474,96189,0,0,149942,1871,0,26159,0,0,0,20974,0,100526,0,1027506,0,0,0,0,0,4548,6962,0,0,2876865,0,20052,28775,0,0,0,0,30263,99400,9646,4292,7733,0,57579,9975,0,0,1138,325343,0,0,136078,0,0,0,291,0,1617,0,0,0,0,2034,170378,4452,92598,0,0,0,0,0,28845,0,0,0,4922310,3097,12360,0,0,0,1366,0,0,0,0,0,0,1307,4621,0,0,0,523,0,0,0,10389,109538,0,5414,0,0,0,115297,0,267377,0,27630,19363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,0,0,0,13231,0,0,0
"S14.04.R",47258,0,27410,0,31046,0,195942,0,3447,0,0,608,352,0,0,291674,0,8412,2225,0,128235,4090923,0,0,0,0,0,0,0,10022,0,148872,0,6699,0,0,0,3710,0,5178709,80390,0,0,168777,0,0,7946,0,0,0,105302,284,0,0,4106531,1539,0,3444,235,0,0,0,3763,0,15881525,0,5537,473429,0,1556421,0,139,0,51701,0,163,9208,21341,21287,0,0,0,0,81126,0,0,31256,7825,0,0,0,0,24489,0,0,281,0,2015,31060,0,276513,0,0,0,0,0,12083,1741,0,89,283838,0,9954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,29134,0,2431,0,0,0,33676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53246,0,0,0,16031,0,0,0
"S17.01.D",6361,2351384,221889,0,3961202,12626,48661,32783,29706,0,96895,37698,300618,161501,395620,1465595,707863,87298,74240,0,263255,77420,79502,43883,251923,7467,468132,278344,14807,199393,1208634,188956,110930,58092,17115,1261104,32145,284816,2386510,2176,0,0,145572,76623,323174,19194,20865,43037,11207,22993,45871,128050,0,281679,467,32931,0,46668,7684,343621,6050,83290,7853,122400,35439,44811,47808,23256,94778,91867,496,36687,273993,37460,504484,808,18663,7856,5017,0,208748,3702,408957,1929,11464,6329,0,522205,0,13624,1341,41632,749,98170,365,8526,295,0,0,5878,1301,0,8416,59449,0,23119,4921,923,12961,869,0,0,0,51969,109921,0,376,0,0,5559,46343,37910,0,0,0,0,0,0,28257,14998,72,0,0,0,188,268484,0,2018,0,0,2608,0,0,0,666892,100896,17525,0,0,0,0,0,0,0,15341,0,0,145674,0,1240,2672,0,1637,1341,0,0,0,0,0,0,0,0,0,15588,0,0,0,0,0,0,0
"S17.02.D",25235,1364894,206855,0,1587448,4296,81758,105110,40946,0,57251,124472,171063,79331,187884,369432,695042,11732,19119,0,69889,49822,54333,52801,76686,3126,392706,103731,3517,119890,517972,67966,59655,36830,6025,653701,57948,137448,2987805,2195,317,0,41217,5777,379888,953,22239,38824,24859,2261,15722,66651,0,166917,4954,12010,0,18944,2013,260078,6486,46878,12273,47186,35389,20147,33877,16514,47241,44978,261,6925,157853,13296,19940,4630,3578,5376,584,0,88122,0,143741,2102,876,3976,0,291484,0,1617,0,22590,7749,76820,0,9346,0,0,0,0,1234,0,12686,6623,0,32765,0,330,6152,2916,0,0,0,0,107888,0,0,0,0,11447,0,1941,0,0,0,0,0,0,992,5453,2135,0,0,0,1834,198583,0,2968,0,0,0,0,0,0,937093,2347,56104,0,0,0,0,0,0,0,674,0,0,153963,0,0,4952,0,647,0,0,0,0,0,0,0,0,0,0,24548,0,0,0,0,0,15281,0
"S17.03.R",598639,4421936,2161290,0,10850977,21519,2135404,4717323,450331,0,0,4277164,354116,329799,376149,641565,2755753,134564,53232,0,548303,564248,1022945,1121247,75349,5708,0,0,68748,1065027,0,164485,225471,8071,313623,1404971,514692,2793027,4947603,45049,11501,0,0,142016,1578588,544830,298487,0,20760,808,342741,431455,0,191516,3712,0,0,104004,72298,444398,170573,1894108,21723,299183,39109,0,271266,56375,0,442204,1455,37393,0,53394,6278,13301,3599,5195,59756,0,1043592,6468,176042,25224,21688,0,0,46251,0,84,0,0,5962,0,0,110226,0,0,569,0,12008,0,1245723,0,0,1295856,3367,3396,0,3670,0,0,0,53169,659788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9139,485,0,0,3726,234828,0,0,0,380,0,353132,0,0,0,0,791392,0,0,0,0,0,0,0,0,0,0,1471279,0,0,23045,0,0,0,0,0,0,476019,0,0,0,0,0,1279,0,0,0,0,0,0,0
"S17.04.R",24777,0,5592159,0,667724,4668,38599,572557,38025,0,0,614190,1097,0,10200,245899,56924,675428,12932,0,116584,24756,7597,0,69632,0,0,0,0,167859,0,17853,725,8944,161313,0,35267,90685,0,15978,250,0,0,48177,17912,12291,53269,0,4605,0,540618,86736,0,0,774,7666,0,0,9329,0,0,0,7421,111489,6003,0,3392,41626,0,62751,0,125077,5042,98212,0,1059,201,0,40834,0,3029,0,2713,0,0,0,0,0,0,0,0,0,12378,0,0,25894,435,0,0,0,2069,0,0,0,0,49089,0,6015,0,513,0,0,0,400352,165780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,589,0,0,0,554,0,0,0,0,0,0,255663,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238677,0,0,0,0,0,5115,0,0,0,0,0,22875,0
"S20.01.D",0,66253,684198,0,6849970,74386,0,309,4300,4003980,94817,18343,0,122392,1618720,108552,0,0,125806,0,9328,92166,0,1140610,447001,11093,0,17119,30193,218487,846676,35110,877694,93313,0,1959677,0,5775,574,9984,0,0,173474,32946,81357,858,18295,0,24326,12780,148411,3688,2746709,188072,836229,149606,339573,0,12520,0,326966,245614,4840,92,101,0,0,5303,1837,141849,1065,15408,5958869,17427,1775307,612,0,3220,11266,0,11025,0,0,0,0,5906,0,41045,0,5756,0,0,27334,52302,516412,0,0,0,0,837975,410,7361,119215,115932,0,0,58588,4348,0,0,0,0,718,0,0,3197461,236748,0,76541,1317811,189171,0,874531,1077823,1883902,0,0,74473,30936,1938,0,0,2237,13874,0,545,0,0,0,0,0,819009,8369,315295,0,656,105915,0,0,0,181940,0,80861,82254,34643,85161,0,0,0,1538,11045,61659,0,0,0,0,0,0,0,0,0,0,0,26780,0,0,0,0,0,87301,1027324
"S20.02.D",0,35478,247152,0,1455598,9453,688665,0,2642,1236491,0,0,0,0,98157,5329,112876,2374,3240,0,41102,2739425,11568,208144,41221,2196,30268,0,0,686,51835,150369,95354,22688,173724,0,0,30251,0,538027,1026859,0,0,246915,42593,24200,446241,0,28725,0,39782,1370,1639546,0,816980,0,123041,0,5213,0,67894,196834,436869,21914,454192,0,15578,70150,0,3650196,1925,9327,941799,8112,270262,5871,8769,0,333682,1232,7509,0,947,0,105561,0,0,805,0,0,0,0,6353,0,209758,85347,0,0,0,82798,0,0,0,39414,5617,36259,0,137901,0,0,226,0,0,0,0,171350,0,0,0,22030,0,0,0,52101,230233,0,0,6481,0,0,0,157624,0,0,0,0,0,0,0,0,0,0,27369,355132,0,89860,105937,0,0,0,26154,0,0,0,339,2889,0,0,0,0,1507,6322,1230476,0,0,0,876,0,0,0,0,0,0,20950,0,0,0,0,0,21911,0
"S20.03.R",0,0,37979,0,168880,748,0,0,499,3544,0,0,784973,0,10350,22203483,0,304279,40007,0,433114,53703,0,0,157129,998,0,0,93601,21974,0,74832,5162,640,0,723,0,2783,0,47434,0,0,43135,0,0,0,876,0,17713,0,387471,825,0,2987,5207555,12039,1062,67699,7574,0,0,621,4267,0,184188,774,1158,10670,979,818903,0,24225,34704,553409,16338,1490,2514,638725,0,0,45,0,0,2795,0,3032,0,108678,0,13171,4081,0,514675,0,844,5182,217,0,0,21999,4644,7836,0,5761846,0,0,160583,2898,0,0,1292,2642,15877,0,0,0,0,0,0,14572,56895,0,9847154,10146,0,0,0,177631,0,0,0,0,6506,20336,0,24660,0,0,0,1586,0,103023,2233,0,0,0,0,0,20023,0,0,0,0,0,7855,0,0,0,0,0,0,0,6256,0,0,0,0,0,0,0,0,0,0,13382,0,0,0,0,116150,322292,2023383
"S20.04.R",0,0,144840,0,3715851,353,4474811,0,5844,3159,0,0,0,0,0,39851,281219,137044,684,0,39677,10967114,0,0,70137,2547,0,0,0,0,0,207159,0,0,50082,0,0,39815,0,2211415,955231,0,0,94017,3293,111601,911837,0,0,0,223819,165,6286,0,4082710,0,0,402,21208,0,0,2815,539729,63,1452603,0,17196,410503,0,5292613,10713,20413,255,170167,0,2917,55090,0,932241,1693452,75936,0,3020,617,199595,0,0,0,0,0,0,0,47942,0,1926,83129,1296,0,0,0,165,0,0,382473,12018,684,79046,245170,415,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,274790,0,0,0,0,0,0,0,63,0,0,219584,5763,0,0,702207,0,0,0,0,93561,0,0,0,0,0,0,0,0,0,0,976229,0,0,0,0,0,0,0,0,0,0,12956,0,0,0,0,0,0,0
